"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
3.23013328319652e-05,13,46,4.78896776101745,"Mixed, incl. sulfur amino acid biosynthetic process, and amino acid transport","","SERP0036 SERP0094 SERP0095 SERP0099 SERP0152 SERP1166 SERP2003 SERP2004 SERP2005 SERP2185 SERP2187 SERP2191 SERP2192"
8.33184126878327e-19,44,156,4.77952206523635,"Translation, and chaperone","","SERP0002 SERP0005 SERP0039 SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0448 SERP0449 SERP0450 SERP0718 SERP0823 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
2.07695012314421e-19,46,166,4.69576264240636,"Translation, and rna metabolic process","","SERP0002 SERP0005 SERP0039 SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0448 SERP0449 SERP0450 SERP0718 SERP0823 SERP1015 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832 SERP2413"
1.87359858674966e-17,46,184,4.23639455782313,"Gene expression, and chaperone","","SERP0002 SERP0005 SERP0039 SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0448 SERP0449 SERP0450 SERP0718 SERP0823 SERP1015 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832 SERP2413"
1.26971899745996e-12,36,151,4.04000540613596,"Non-membrane-bounded organelle","http://amigo.geneontology.org/amigo/term/GO:0043228","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0816 SERP0823 SERP1211 SERP1242 SERP1243 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
1.26971899745996e-12,36,151,4.04000540613596,"Intracellular non-membrane-bounded organelle","http://amigo.geneontology.org/amigo/term/GO:0043232","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0816 SERP0823 SERP1211 SERP1242 SERP1243 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
5.61158038944955e-05,17,80,3.60093537414966,"Mixed, incl. sulfur compound metabolic process, and amino acid transport","","SERP0036 SERP0094 SERP0095 SERP0099 SERP0152 SERP1166 SERP1278 SERP1279 SERP1280 SERP2003 SERP2004 SERP2005 SERP2185 SERP2187 SERP2191 SERP2192 SERP2514"
1.31637280929796e-10,37,184,3.40753475303165,"Organelle","http://amigo.geneontology.org/amigo/term/GO:0043226","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0816 SERP0823 SERP1211 SERP1242 SERP1243 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832 SERP1931"
3.27460690326676e-09,37,204,3.0734627184207,"Peptide biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0043043","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1024 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
6.70200326158536e-09,37,209,2.99993490219054,"Peptide metabolic process","http://amigo.geneontology.org/amigo/term/GO:0006518","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1024 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
2.42401663689569e-06,33,213,2.62537127527067,"RNA binding","http://amigo.geneontology.org/amigo/term/GO:0003723","SERP0002 SERP0046 SERP0178 SERP0179 SERP0180 SERP0450 SERP1015 SERP1211 SERP1242 SERP1244 SERP1279 SERP1284 SERP1806 SERP1807 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832 SERP2413"
5.2602291727028e-07,37,243,2.58019092410627,"Amide biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0043604","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1024 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
3.65311070968021e-08,49,355,2.33896713615023,"Gene expression","http://amigo.geneontology.org/amigo/term/GO:0010467","SERP0002 SERP0005 SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0718 SERP0817 SERP0823 SERP0860 SERP1015 SERP1024 SERP1178 SERP1211 SERP1242 SERP1243 SERP1244 SERP1279 SERP1284 SERP1321 SERP1499 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832 SERP2413"
1.97673292385308e-05,37,279,2.24726306293127,"Cellular amide metabolic process","http://amigo.geneontology.org/amigo/term/GO:0043603","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0718 SERP0823 SERP1024 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1798 SERP1799 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
0.00010916193192236,43,375,1.94309297052154,"Cellular macromolecule biosynthetic process","http://amigo.geneontology.org/amigo/term/GO:0034645","SERP0046 SERP0178 SERP0179 SERP0180 SERP0181 SERP0184 SERP0519 SERP0521 SERP0718 SERP0823 SERP1020 SERP1024 SERP1211 SERP1242 SERP1243 SERP1244 SERP1284 SERP1703 SERP1798 SERP1799 SERP1805 SERP1806 SERP1807 SERP1813 SERP1814 SERP1815 SERP1816 SERP1817 SERP1818 SERP1819 SERP1820 SERP1821 SERP1822 SERP1823 SERP1824 SERP1825 SERP1826 SERP1827 SERP1828 SERP1829 SERP1830 SERP1831 SERP1832"
